cell,n,WR%,E_R,PF,sumR,days,top_day_share,top_sym_share,jul_n,jul_E,aug_n,aug_E,tp_share,wla_n,wla_WR%,ROBUST
trig=burst_backfill,69,60.9,0.1228,2.73,8.5,5,0.66,0.5,18,0.312,51,0.056,0.0,69,60.9,
adxxstrategy=NA|asia_pump_short_4h,120,60.8,0.1219,2.34,14.6,14,0.28,0.28,83,0.13,37,0.105,0.0,44,65.9,Y
breadthxstrategy=NA|asia_pump_short_4h,120,60.8,0.1219,2.34,14.6,14,0.28,0.28,83,0.13,37,0.105,0.0,44,65.9,Y
spreadxstrategy=NA|asia_pump_short_4h,120,60.8,0.1219,2.34,14.6,14,0.28,0.28,83,0.13,37,0.105,0.0,44,65.9,Y
strategyxsym_state=asia_pump_short_4h|NA,120,60.8,0.1219,2.34,14.6,14,0.28,0.28,83,0.13,37,0.105,0.0,44,65.9,Y
adxxstrategy=<20|late_fade,74,60.8,0.0748,3.29,5.5,2,1.03,0.14,74,0.075,0,,0.34,17,47.1,
strategyxregimexadx=late_fade|neutral|<20,74,60.8,0.0748,3.29,5.5,2,1.03,0.14,74,0.075,0,,0.34,17,47.1,
atrpxsymbol=hi|AAVEUSDT,117,60.7,0.0305,1.37,3.6,9,0.47,1.0,0,,117,0.03,0.07,33,57.6,
cascxsymbol=Y|AAVEUSDT,66,60.6,-0.0036,0.96,-0.2,3,inf,inf,0,,66,-0.004,0.06,19,57.9,
decile_bandxstrategy=D10|fade_3h_london,33,60.6,0.1534,2.42,5.1,12,0.52,0.46,24,0.191,9,0.053,0.0,5,80.0,
symbolxv3=AAVEUSDT|N,99,60.6,0.0158,1.2,1.6,10,0.53,1.0,0,,99,0.016,0.06,20,60.0,
symbolxvs=ETHUSDT|Y,33,60.6,0.111,1.92,3.7,8,0.89,1.0,2,-0.171,31,0.129,0.24,22,68.2,
strategyxdecile_bandximb=fade_3h_london|D10|<0.5,33,60.6,0.1534,2.42,5.1,12,0.52,0.46,24,0.191,9,0.053,0.0,5,80.0,
strategyxweekdayxregime=ny_flush_buy_4h|4|neutral,66,60.6,0.0585,1.54,3.9,4,0.69,0.31,53,0.104,13,-0.126,0.0,13,23.1,
strategyxweekend=follow_3h_all|False,408,60.5,0.0695,1.65,28.4,27,0.27,0.13,345,0.066,63,0.09,0.0,53,56.6,Y
strategyxdecile_bandximb=ny_burst_fade|D2-3|<0.5,38,60.5,0.0813,1.9,3.1,2,1.11,0.38,30,0.115,0,,0.11,0,,
strategyxregimexbreadth=late_fade|neutral|>=4,200,60.5,0.0661,2.64,13.2,9,0.65,0.08,84,0.064,116,0.068,0.35,45,55.6,
atrpxstrategy=hi|follow_3h_all,253,60.5,0.0479,1.6,12.1,28,0.44,0.12,148,0.07,105,0.016,0.0,63,52.4,
strategyxweekdayxhour_band=burst_follow|1|6-11,220,60.5,0.0249,1.58,5.5,8,0.61,0.26,90,0.028,120,0.034,0.05,82,64.6,
strategyxsymbol=setup_follow|SOLUSDT,179,60.3,0.0088,1.13,1.6,58,0.55,1.0,87,0.016,90,0.001,0.11,88,60.2,
oidxstrategy=NA|asia_pump_short_4h,121,60.3,0.118,2.27,14.3,15,0.29,0.29,84,0.124,37,0.105,0.0,45,64.4,Y
symbolxv3=BCHUSDT|N,78,60.3,-0.0253,0.76,-2.0,9,inf,inf,0,,78,-0.025,0.03,16,56.2,
strategyxweekdayxhour_band=nony_momentum|0|12-17,78,60.3,0.0569,2.05,4.4,7,0.8,0.14,59,0.063,19,0.038,0.19,18,50.0,
adxxstrategy=<20|london_burst_fade,88,60.2,0.0656,1.56,5.8,6,0.65,0.3,50,0.058,38,0.076,0.14,48,58.3,
strategyxregimexadx=london_burst_fade|neutral|<20,88,60.2,0.0656,1.56,5.8,6,0.65,0.3,50,0.058,38,0.076,0.14,48,58.3,
strategyxregimexbreadth=nony_momentum|bull|>=4,571,60.1,0.0247,1.55,14.1,18,0.43,0.17,82,-0.002,489,0.029,0.06,218,58.3,
strategyxregimexdecile_band=nony_momentum|bull|D2-3,601,60.1,0.0299,1.7,18.0,20,0.4,0.21,127,-0.007,474,0.04,0.06,267,61.8,
atrpxsymbol=hi|1000LUNCUSDT,70,60.0,0.025,1.3,1.7,15,0.49,1.0,17,0.023,53,0.025,0.06,27,48.1,
breadthxstrategy=>=4|fade_3h_late,30,60.0,0.0584,1.45,1.8,7,2.04,1.56,8,0.478,22,-0.094,0.0,13,46.2,
cascxsymbol=Y|LINKUSDT,45,60.0,0.0028,1.03,0.1,3,1.7,1.0,0,,45,0.003,0.07,17,58.8,
imbxstrategy=<0.5|ny_burst_fade,45,60.0,0.0536,1.53,2.4,2,1.05,0.48,35,0.073,0,,0.09,0,,
sidexstrategy=LONG|ny_burst_fade,45,60.0,0.0536,1.53,2.4,2,1.05,0.48,35,0.073,0,,0.09,0,,
sidexsymbol=LONG|PENDLEUSDT,240,60.0,0.0128,1.15,3.1,62,0.68,1.0,116,-0.021,122,0.054,0.11,100,64.0,
strategyxsymbol=follow_3h_all|1000PEPEUSDT,30,60.0,0.0632,1.54,1.9,14,0.59,1.0,29,0.071,1,-0.162,0.0,0,,
symbolxweekday=AAVEUSDT|0,35,60.0,-0.0094,0.89,-0.3,2,inf,inf,0,,35,-0.009,0.06,6,66.7,
strategyxweekdayxhour_band=ny_flush_buy_4h|6|12-17,50,60.0,0.0134,1.12,0.7,6,5.32,1.15,12,-0.172,38,0.072,0.0,9,44.4,
strategyxweekdayxregime=setup_follow|2|NA,45,60.0,0.0547,2.18,2.5,1,1.0,0.29,45,0.055,0,,0.16,0,,
strategyxweekdayxregime=burst_follow|0|bear,215,60.0,0.0363,1.68,7.8,2,1.06,0.17,179,0.046,36,-0.013,0.14,32,59.4,
strategyxweekdayxhour_band=nony_momentum|2|0-5,137,59.9,0.0336,1.54,4.6,7,1.23,0.14,130,0.031,7,0.083,0.15,23,60.9,
strategyxsidexregime=late_fade|SHORT|neutral,306,59.8,0.0555,2.58,17.0,21,0.54,0.12,165,0.041,141,0.072,0.27,75,58.7,
strategyxsym_state=nony_momentum|bull,709,59.8,0.0184,1.36,13.0,33,0.55,0.26,114,-0.028,595,0.027,0.06,360,58.9,
fundxstrategy=flat|asia_pump_short_4h,199,59.8,0.0655,1.44,13.0,45,0.34,0.29,92,0.124,107,0.015,0.0,70,50.0,Y
strategyxregimexdecile_band=follow_3h_all|neutral|D2-3,184,59.8,0.0333,1.3,6.1,11,0.44,0.45,181,0.034,3,-0.033,0.0,2,0.0,
hour_bandxstrategy=6-11|asia_pump_short_4h,82,59.8,0.0181,1.1,1.5,33,1.76,1.34,29,0.207,53,-0.086,0.0,29,65.5,
regimexvolz=bear|>=5,385,59.7,0.0368,1.32,14.2,16,0.36,0.15,170,0.034,215,0.039,0.14,175,56.0,Y
strategyxweekdayxhour_band=burst_follow|0|6-11,226,59.7,0.0341,1.83,7.7,8,0.66,0.24,112,0.021,114,0.047,0.08,86,58.1,
sym_statexsymbol=bull|BCHUSDT,62,59.7,-0.0009,0.99,-0.1,6,inf,inf,0,,62,-0.001,0.05,15,53.3,
