cell,n,WR_net%,WR_gross%,E_net,PF_net,sumR_net,days,top_day_share,wilson95%,breakeven_WR%,p_vs_be,BH_q,IS_n,IS_WR%,IS_E,IS_sig,OOS_n,OOS_WR%,OOS_E,OOS_sig,WF1_E,WF2_E,WF3_E,streak,maxDD_R,VALIDATED
rvbxsym=>=5|ICPUSDT,67,53.7,53.7,0.009,1.07,0.6,22,0.96,"[41.9,65.1]",52.1,4.42e-01,1.000,32,56.2,0.032,N,35,51.4,-0.012,N,0.045,0.012,-0.019,3,2.0,NO
regimexsprb=neutral|<2bps,5859,50.3,50.3,-0.0048,0.96,-28.2,33,inf,"[49.0,51.6]",51.4,9.47e-01,1.000,2824,50.6,0.003,N,3035,50.1,-0.012,N,0.003,0.002,-0.018,16,48.1,NO
symxweekday=RENDERUSDT|6,62,46.8,46.8,-0.0048,0.95,-0.3,8,inf,"[34.9,59.0]",48.1,6.29e-01,1.000,17,47.1,0.014,N,45,46.7,-0.012,N,0.014,0.029,-0.032,4,1.4,NO
regimexstrat=bull|setup_fade,1430,49.4,49.4,-0.0098,0.95,-14.0,22,inf,"[46.8,52.0]",50.7,8.54e-01,1.000,372,49.5,-0.004,N,1058,49.3,-0.012,N,-0.048,0.04,-0.012,13,34.2,NO
stratxsym=burst_follow|XLMUSDT,127,56.7,56.7,0.0089,1.14,1.1,41,0.44,"[48.0,65.0]",53.5,2.66e-01,0.909,83,56.6,0.02,N,44,56.8,-0.012,N,0.02,0.021,-0.012,4,1.5,NO
hourbxsym=6-11|SUIUSDT,46,52.2,52.2,-0.0121,0.89,-0.6,7,inf,"[38.1,65.9]",55.0,7.02e-01,1.000,0,,,N,46,52.2,-0.012,N,,,-0.012,2,1.9,NO
stratxsym=asia_burst_fade|BNBUSDT,62,35.5,35.5,-0.1269,0.52,-7.9,25,inf,"[24.7,47.9]",51.5,9.96e-01,1.000,27,18.5,-0.276,N,35,48.6,-0.012,N,-0.236,-0.388,-0.012,8,8.4,NO
symxv3=ADAUSDT|False,694,51.2,51.2,0.0001,1.0,0.1,57,28.35,"[47.4,54.9]",51.1,5.11e-01,1.000,393,50.4,0.009,N,301,52.2,-0.012,N,-0.001,0.045,-0.019,5,6.1,NO
symxweekday=FETUSDT|0,95,52.6,52.6,-0.0163,0.87,-1.6,9,inf,"[42.7,62.4]",56.1,7.84e-01,1.000,61,52.5,-0.019,N,34,52.9,-0.012,N,-0.013,-0.013,-0.029,3,2.4,NO
regimexsym=neutral|CHZUSDT,287,47.4,47.4,0.004,1.03,1.1,35,0.76,"[41.7,53.2]",46.6,4.12e-01,1.000,192,47.4,0.012,N,95,47.4,-0.012,N,0.016,-0.0,-0.013,5,2.3,NO
